shoot,number,pair,colour,wet_weight,dry_weight,temp_bef,temp_aft,temp_ctr,shoot_flower,time,temp_change
A,1,A1,green,0.207,,28.2,38.5,30,pre flower,5,10.3
A,1,A1,green-green,,,28.1,38.3,30,,5,10.2
A,1,A1,red,0.17,,28.1,39.7,30,,5,11.6
A,1,A1,red - green,,,28.1,38.3,30,,5,10.2
A,2,A2,green,0.19,,28.1,39.6,30,,5,11.5
A,2,A2,green-green,,,28.2,38.4,30,,5,10.2
A,2,A2,red,0.153,,28.1,38.2,30,,5,10.1
A,2,A2,red - green,,,28.1,37,30,,5,8.9
A,3,A3,green,0.137,,28.1,39.3,30,,5,11.2
A,3,A3,green-green,,,28.1,38.7,30,,5,10.6
A,3,A3,red,0.161,,28.2,38.5,30,,5,10.3
A,3,A3,red - green,,,28.2,38.5,30,,5,10.3
B,1,B1,green,0.145,,27.4,44,36,about to flower,3,16.6
B,1,B1,green-green,,,26.9,41.9,36,,3,15
B,1,B1,red,0.114,,27,43.2,36,,3,16.2
B,1,B1,red - green,,,28,43.7,36,,3,15.7
B,2,B2,green,0.143,,27.2,43.4,36,,3,16.2
B,2,B2,green-green,,,27,41.8,36,,3,14.8
B,2,B2,red,0.114,,27,43.9,36,,3,16.9
B,2,B2,red - green,,,27,43.4,36,,3,16.4
B,3,B3,green,0.142,,27,42.5,36,,3,15.5
B,3,B3,green-green,,,26.9,40.8,36,,3,13.9
B,3,B3,red,0.133,,27.3,43.2,36,,3,15.9
B,3,B3,red - green,,,26.5,41.9,36,,3,15.4
C,1,C1,green,0.159,,28.5,40.1,30,pre flower,5,11.6
C,1,C1,green-green,,,28.4,38.9,30,,5,10.5
C,1,C1,red,0.144,,28.4,40.2,30,,5,11.8
C,1,C1,red - green,,,28.4,38.9,30,,5,10.5
C,2,C2,green,0.169,,28.3,39.7,30,,5,11.4
C,2,C2,green-green,,,28.5,39.1,30,,5,10.6
C,2,C2,red,0.143,,28.2,38.9,30,,5,10.7
C,2,C2,red - green,,,28.2,38.2,30,,5,10
C,3,C3,green,0.171,,28.3,39.4,30,,5,11.1
C,3,C3,green-green,,,28,38.7,30,,5,10.7
C,3,C3,red,0.136,,28.1,38.9,30,,5,10.8
C,3,C3,red - green,,,28.1,37.2,30,,5,9.1
D,1,D1,green,0.238,,27.9,41.6,35,pre-flower,,13.7
D,1,D1,green-green,,,27.9,40.2,35,,,12.3
D,1,D1,red,0.143,,27.2,38.2,35,,,11
D,1,D1,red - green,,,27,37,35,,,10
D,2,D2,green,0.248,,27.5,40.1,35,,,12.6
D,2,D2,green-green,,,27.6,40.6,35,,,13
D,2,D2,red,0.137,,27.5,38.8,35,,,11.3
D,2,D2,red - green,,,27,37.5,35,,,10.5
D,3,D3,green,0.208,,27.8,42.5,35,,,14.7
D,3,D3,green-green,,,27.5,40.8,35,,,13.3
D,3,D3,red,0.174,,26.9,38.2,35,,,11.3
D,3,D3,red - green,,,27,37.4,35,,,10.4
E,1,E1,green,0.249,,28.2,38.9,30,pre-flower,5,10.7
E,1,E1,green-green,,,28.2,37.7,30,,5,9.5
E,1,E1,red,0.228,,28.2,38.3,30,,5,10.1
E,1,E1,red - green,,,28.1,37.3,30,,5,9.2
E,2,E2,green,0.221,,28.2,38.5,30,,5,10.3
E,2,E2,green-green,,,28.2,37.5,30,,5,9.3
E,2,E2,red,0.278,,28,39.2,30,,5,11.2
E,2,E2,red - green,,,28.1,38.5,30,,5,10.4
E,3,E3,green,0.223,,28.1,39.7,30,,5,11.6
E,3,E3,green-green,,,28.2,38.9,30,,5,10.7
E,3,E3,red,0.3,,28.2,39.5,30,,5,11.3
E,3,E3,red - green,,,28.2,38.6,30,,5,10.4
F,1,F1,green,0.248,,27.8,43.1,35,pre-flower,,15.3
F,1,F1,green-green,,,27.8,42.5,35,,,14.7
F,1,F1,red,0.252,,27.8,41.4,35,,,13.6
F,1,F1,red - green,,,27.6,41.1,35,,,13.5
F,2,F2,green,0.258,,27.9,43.1,35,,,15.2
F,2,F2,green-green,,,27.9,42.2,35,,,14.3
F,2,F2,red,0.246,,27.6,40.8,35,,,13.2
F,2,F2,red - green,,,27.5,40.4,35,,,12.9
F,3,F3,green,0.222,,27.6,41.9,35,,,14.3
F,3,F3,green-green,,,27.8,42.3,35,,,14.5
F,3,F3,red,0.236,,27.4,40.1,35,,,12.7
F,3,F3,red - green,,,27.4,39.8,35,,,12.4
G,1,G1,green,0.24,,27.9,42.8,35,,,14.9
G,1,G1,green-green,,,27.5,41,35,,,13.5
G,1,G1,red,0.155,,27.4,41.8,35,,,14.4
G,1,G1,red - green,,,27.3,40.7,35,,,13.4
G,2,G2,green,0.239,,27.6,42.9,35,,,15.3
G,2,G2,green-green,,,27.4,41.6,35,,,14.2
G,2,G2,red,0.158,,27.5,42,35,,,14.5
G,2,G2,red - green,,,27,40.8,35,,,13.8
G,3,G3,green,0.229,,27.6,42.8,35,,,15.2
G,3,G3,green-green,,,27.5,41,35,,,13.5
G,3,G3,red,0.144,,27.8,42.9,35,,,15.1
G,3,G3,red - green,,,27.8,40.4,35,,,12.6
H,1,H1,green,0.162,,26.9,42.5,36,pre flower,3,15.6
H,1,H1,green-green,,,26.6,42.6,36,,3,16
H,1,H1,red,0.09,,26.8,41.4,36,,3,14.6
H,1,H1,red - green,,,26.2,42.5,36,,3,16.3
H,2,H2,green,0.184,,27,43.6,36,,3,16.6
H,2,H2,green-green,,,27,42.1,36,,3,15.1
H,2,H2,red,0.121,,26.6,40.4,36,,3,13.8
H,2,H2,red - green,,,28.1,40.6,36,,3,12.5
H,3,H3,green,0.162,,27.3,43.3,36,,3,16
H,3,H3,green-green,,,27.2,43.5,36,,3,16.3
H,3,H3,red,0.089,,27.5,39.8,36,,3,12.3
